id_entrega,id_mensajero,fecha,ciudad,zona,distancia_km,tiempo_entrega_minutos,valor_paquete,estado,calificacion_cliente,tipo_vehiculo,experiencia_mensajero
E10024,M081,2024-02-21 14:04:00,Bogotá,Chapinero,14.4,71.3,173400.0,Entregado,3.0,Camioneta,1-3 años
E10025,M055,2024-03-13 16:13:00,Cali,San Fernando,6.0,23.0,131600.0,Entregado,4.5,Moto,3-5 años
E10026,M128,2024-02-20 20:09:00,Bogotá,Chapinero,13.4,64.7,234900.0,Entregado,3.4,Moto,1-3 años
E10027,M068,2024-01-18 13:47:00,Cali,Granada,4.7,19.1,316200.0,Entregado,5.0,Moto,1-3 años
E10028,M144,2024-03-09 14:47:00,Bucaramanga,Cabecera,8.3,33.8,432300.0,Entregado,4.4,Camioneta,1-3 años
E10029,M150,2024-02-24 18:23:00,Barranquilla,Centro,7.8,34.9,123200.0,Entregado,4.0,Moto,<1 año
E10030,M057,2024-01-18 22:31:00,Cali,Centro,3.8,19.4,416800.0,Entregado,4.5,Camioneta,3-5 años
E10031,M024,2024-01-07 09:09:00,Cali,San Fernando,2.6,10.6,447400.0,Entregado,4.6,Moto,1-3 años
E10032,M041,2024-03-28 19:38:00,Bogotá,Usaquén,8.4,58.9,117600.0,Dañado,,Moto,<1 año
E10033,M017,2024-02-19 18:38:00,Cali,Chipichape,9.2,63.2,136400.0,Entregado,3.3,Moto,1-3 años
E10034,M120,2024-03-08 14:35:00,Cali,San Fernando,9.3,42.3,208600.0,Entregado,4.7,Camioneta,1-3 años
E10035,M003,2024-03-28 09:43:00,Medellín,Centro,5.4,42.1,208100.0,Entregado,3.9,Camioneta,3-5 años
E10036,M138,2024-02-04 16:07:00,Barranquilla,Sur,5.4,16.1,458600.0,Entregado,4.9,Moto,>5 años
E10037,M076,2024-02-25 11:29:00,Bogotá,Centro,9.8,44.5,85800.0,Entregado,4.5,Camioneta,3-5 años
E10038,M001,2024-02-03 22:48:00,Cali,Granada,5.6,11.5,11100.0,Retrasado,,Moto,>5 años
E10039,M046,2024-03-05 09:55:00,Medellín,Bello,10.3,114.1,323100.0,Entregado,3.2,Camioneta,1-3 años
E10040,M077,2024-03-22 22:38:00,Barranquilla,Norte,13.0,44.6,298200.0,Dañado,,Moto,<1 año
E10041,M051,2024-01-20 17:48:00,Medellín,Centro,9.6,35.2,233000.0,Entregado,4.6,Moto,3-5 años
E10042,M042,2024-03-10 22:58:00,Bucaramanga,Floridablanca,6.7,27.1,290500.0,Entregado,4.8,Moto,<1 año
E10043,M001,2024-03-17 16:31:00,Cali,Centro,7.2,21.5,20400.0,Entregado,4.8,Moto,>5 años
E10044,M005,2024-01-15 17:56:00,Bucaramanga,Floridablanca,3.0,13.1,143100.0,Entregado,4.4,Moto,1-3 años
E10045,M079,2024-01-31 07:15:00,Medellín,Bello,9.6,40.3,30600.0,Entregado,5.0,Moto,1-3 años
E10046,M146,2024-01-11 08:46:00,Bogotá,Chapinero,8.7,68.3,443300.0,Entregado,3.9,Moto,<1 año
E10047,M125,2024-01-09 10:08:00,Bogotá,Kennedy,4.8,15.5,198200.0,Entregado,5.0,Camioneta,1-3 años
E10048,M122,2024-03-11 11:16:00,Bucaramanga,Norte,2.9,10.8,381500.0,Entregado,4.5,Camioneta,3-5 años
E10049,M136,2024-03-18 19:13:00,Bogotá,Centro,6.7,32.8,73500.0,Entregado,5.0,Moto,1-3 años
E10050,M139,2024-03-29 12:45:00,Barranquilla,Norte,7.0,46.9,33900.0,Entregado,5.0,Moto,<1 año
E10051,M080,2024-02-21 17:28:00,Barranquilla,Siape,13.9,83.2,276500.0,Dañado,,Moto,1-3 años
E10052,M133,2024-02-27 09:15:00,Bucaramanga,Girón,8.9,48.0,378800.0,Entregado,4.9,Moto,>5 años
E10053,M058,2024-01-09 16:01:00,Bogotá,Suba,14.5,34.3,282500.0,Entregado,4.3,Moto,>5 años
E10054,M142,2024-01-30 13:00:00,Bucaramanga,Norte,7.1,37.3,62400.0,Entregado,4.5,Moto,1-3 años
E10055,M019,2024-03-31 07:14:00,Bogotá,Kennedy,11.6,47.5,357000.0,Entregado,4.6,Moto,>5 años
E10056,M018,2024-01-05 16:04:00,Bucaramanga,Centro,3.1,12.4,301300.0,Entregado,4.4,Moto,1-3 años
E10057,M132,2024-01-31 14:42:00,Bucaramanga,Floridablanca,4.4,19.5,268200.0,Entregado,4.6,Moto,1-3 años
E10058,M125,2024-01-28 10:46:00,Bogotá,Kennedy,11.9,55.1,322900.0,Entregado,4.3,Camioneta,1-3 años
E10059,M147,2024-03-14 21:15:00,Cali,Granada,4.9,16.6,285700.0,Entregado,4.8,Moto,>5 años
E10060,M122,2024-02-22 12:06:00,Bucaramanga,Cabecera,9.0,34.9,461200.0,Entregado,4.8,Camioneta,3-5 años
E10061,M025,2024-03-25 19:22:00,Cali,Granada,7.1,27.0,299200.0,Entregado,5.0,Moto,>5 años
E10062,M109,2024-02-22 20:55:00,Medellín,Laureles,9.1,54.8,454800.0,Entregado,4.2,Camioneta,3-5 años
E10063,M014,2024-03-27 09:03:00,Bucaramanga,Cabecera,6.8,54.6,45500.0,Entregado,4.4,Moto,<1 año
E10064,M104,2024-02-13 09:15:00,Medellín,Bello,6.2,27.9,338500.0,Retrasado,,Moto,3-5 años
E10065,M050,2024-01-25 20:08:00,Medellín,El Poblado,11.4,44.0,402800.0,Entregado,4.8,Moto,1-3 años
E10066,M109,2024-01-24 14:29:00,Bucaramanga,Girón,7.0,42.7,328600.0,Entregado,4.1,Camioneta,3-5 años
E10067,M064,2024-01-10 20:51:00,Medellín,Bello,9.7,32.9,172800.0,Entregado,4.5,Camioneta,3-5 años
E10068,M141,2024-01-13 07:41:00,Barranquilla,Sur,5.8,37.2,424700.0,Entregado,4.2,Moto,1-3 años
E10069,M139,2024-01-02 08:59:00,Barranquilla,Riomar,3.9,34.6,451300.0,Entregado,4.3,Moto,<1 año
E10070,M061,2024-01-22 19:31:00,Barranquilla,Siape,5.7,39.7,98000.0,Entregado,5.0,Moto,1-3 años
E10071,M124,2024-01-28 18:57:00,Bucaramanga,Norte,3.0,16.8,56700.0,Entregado,4.6,Moto,1-3 años
E10072,M016,2024-01-22 18:00:00,Bucaramanga,Floridablanca,7.4,30.7,46000.0,Entregado,4.5,Moto,1-3 años
E10073,M100,2024-02-03 20:18:00,Bogotá,Chapinero,9.2,25.3,28000.0,Entregado,5.0,Moto,3-5 años
E10074,M109,2024-03-30 21:09:00,Bogotá,Chapinero,12.5,54.2,70300.0,Entregado,4.1,Camioneta,3-5 años
E10075,M049,2024-02-07 12:03:00,Barranquilla,Sur,8.2,48.6,482900.0,Entregado,5.0,Moto,1-3 años
E10076,M149,2024-03-10 07:47:00,Bogotá,Chapinero,11.0,55.2,80300.0,Entregado,4.7,Moto,<1 año
E10077,M081,2024-01-08 07:37:00,Medellín,Centro,3.8,35.7,344800.0,Entregado,4.6,Camioneta,1-3 años
E10078,M123,2024-03-05 22:10:00,Medellín,El Poblado,3.3,11.5,203000.0,Entregado,4.4,Moto,3-5 años
E10079,M015,2024-03-06 08:54:00,Barranquilla,Centro,9.9,48.8,63500.0,Entregado,4.8,Moto,1-3 años
E10080,M048,2024-01-09 08:43:00,Cali,Chipichape,8.6,49.2,12800.0,Entregado,4.4,Moto,3-5 años
E10081,M061,2024-02-21 09:56:00,Barranquilla,Siape,7.5,42.9,92500.0,Entregado,4.8,Moto,1-3 años
E10082,M146,2024-02-01 07:39:00,Bogotá,Centro,14.4,90.2,294300.0,Entregado,3.6,Moto,<1 año
E10083,M021,2024-02-23 22:20:00,Cali,San Fernando,7.9,33.1,330800.0,Entregado,4.2,Camioneta,3-5 años
E10084,M067,2024-01-27 16:15:00,Barranquilla,Sur,4.6,24.8,162500.0,Entregado,5.0,Camioneta,<1 año
E10085,M068,2024-02-20 10:42:00,Cali,Sur,8.7,23.8,154700.0,Entregado,4.5,Moto,1-3 años
E10086,M077,2024-02-28 16:59:00,Barranquilla,Riomar,8.6,47.3,304800.0,Entregado,4.9,Moto,<1 año
E10087,M019,2024-01-02 20:39:00,Bogotá,Chapinero,11.8,36.3,135300.0,Entregado,4.7,Moto,>5 años
E10088,M145,2024-01-13 08:34:00,Medellín,Laureles,10.3,54.3,241700.0,Entregado,4.2,Moto,>5 años
E10089,M055,2024-03-05 14:08:00,Cali,Chipichape,7.1,35.3,76900.0,Entregado,4.4,Moto,3-5 años
E10090,M090,2024-01-09 13:23:00,Bucaramanga,Cabecera,7.7,27.7,48900.0,Entregado,5.0,Moto,>5 años
E10091,M073,2024-01-21 20:53:00,Medellín,El Poblado,5.0,23.7,124500.0,Entregado,5.0,Moto,<1 año
E10092,M140,2024-03-31 15:39:00,Barranquilla,Riomar,6.9,25.3,368000.0,Entregado,4.4,Moto,1-3 años
E10093,M136,2024-01-02 15:59:00,Bogotá,Kennedy,15.5,54.3,412700.0,Entregado,4.3,Moto,1-3 años
E10094,M027,2024-01-18 14:07:00,Barranquilla,Sur,13.2,90.5,265300.0,Entregado,3.1,Camioneta,<1 año
E10095,M028,2024-03-11 10:17:00,Bogotá,Chapinero,11.3,28.3,177400.0,Entregado,4.6,Moto,3-5 años
E10096,M073,2024-03-18 12:45:00,Medellín,El Poblado,5.7,29.4,496200.0,Entregado,4.5,Moto,<1 año
E10097,M088,2024-01-27 14:32:00,Medellín,Laureles,7.9,38.6,411200.0,Entregado,,Moto,<1 año
E10098,M126,2024-02-02 07:05:00,Cali,Chipichape,5.1,42.7,307100.0,Entregado,4.2,Camioneta,1-3 años
E10099,M109,2024-02-05 07:00:00,Bta,Chapinero,13.9,90.4,69800.0,Entregado,3.9,Camioneta,3-5 años
E10100,M086,2024-01-17 14:10:00,Barranquilla,Siape,4.6,26.6,235300.0,Entregado,5.0,Camioneta,1-3 años
E10101,M114,2024-03-11 19:35:00,Bucaramanga,Cabecera,5.7,27.3,312800.0,Entregado,4.0,Moto,>5 años
E10102,M003,2024-01-15 08:56:00,Cali,Sur,4.8,22.9,190200.0,Entregado,5.0,Camioneta,3-5 años
E10103,M039,2024-03-10 07:53:00,Barranquilla,Siape,3.6,13.5,272300.0,Entregado,4.3,Moto,>5 años
E10104,M095,2024-03-15 10:27:00,Medellín,Centro,4.8,16.3,254700.0,Entregado,4.4,Moto,1-3 años
E10105,M033,2024-01-06 15:23:00,Medellín,Bello,5.2,21.6,478500.0,Entregado,3.9,Moto,1-3 años
E10106,M011,2024-02-15 12:43:00,Barranquilla,Norte,10.7,47.7,322200.0,Entregado,4.9,Moto,1-3 años
E10107,M064,2024-03-26 09:22:00,Medellín,El Poblado,3.6,15.8,361000.0,Entregado,4.4,Camioneta,3-5 años
E10108,M144,2024-02-22 10:59:00,Bogotá,Kennedy,12.9,53.9,95300.0,Entregado,4.2,Camioneta,1-3 años
E10109,M061,2024-01-21 11:56:00,Barranquilla,Centro,3.7,14.8,197200.0,Entregado,4.4,Moto,1-3 años
E10110,M106,2024-01-04 11:47:00,Medellín,El Poblado,8.8,25.2,490200.0,Entregado,4.9,Moto,1-3 años
E10111,M086,2024-02-22 13:17:00,Barranquilla,Riomar,5.1,23.1,90200.0,Entregado,5.0,Camioneta,1-3 años
E10112,M041,2024-03-30 09:24:00,Bogotá,Suba,14.6,115.5,133600.0,Entregado,3.5,Moto,<1 año
E10113,M010,2024-03-01 13:12:00,Medellín,Bello,3.5,16.9,55000.0,Retrasado,,Camioneta,1-3 años
E10114,M118,2024-02-14 15:52:00,Bucaramanga,Girón,8.0,33.4,437900.0,Entregado,4.8,Camioneta,3-5 años
E10115,M059,2024-01-29 06:42:00,Medellín,Laureles,8.0,24.8,441100.0,Entregado,4.6,Moto,1-3 años
E10116,M050,2024-02-21 16:17:00,Medellín,Envigado,4.7,19.2,27300.0,Entregado,4.5,Moto,1-3 años
E10117,M018,2024-02-05 17:41:00,Bucaramanga,Cabecera,7.6,41.5,325200.0,Entregado,4.2,Moto,1-3 años
E10118,M131,2024-02-21 16:01:00,Medellín,Centro,3.0,10.0,207100.0,Dañado,,Moto,>5 años
E10119,M030,2024-02-03 11:37:00,Bucaramanga,Norte,6.8,27.5,142200.0,Entregado,4.8,Moto,1-3 años
E10120,M068,2024-01-05 09:38:00,Medellín,Centro,9.7,62.8,370400.0,Entregado,2.9,Moto,1-3 años
E10121,M112,2024-02-14 16:27:00,Bucaramanga,Floridablanca,8.2,28.9,97300.0,Entregado,4.8,Moto,>5 años
E10122,M131,2024-01-15 18:57:00,Barranquilla,Norte,13.5,58.2,297400.0,Entregado,4.9,Moto,>5 años
E10123,M148,2024-01-25 14:02:00,Cali,Chipichape,4.4,23.8,75400.0,Entregado,5.0,Camioneta,1-3 años
E10124,M112,2024-01-01 22:59:00,Barranquilla,Norte,11.7,29.0,462100.0,Entregado,4.3,Moto,>5 años
E10125,M138,2024-03-28 12:23:00,Barranquilla,Centro,6.5,23.0,230400.0,Entregado,4.4,Moto,>5 años
E10126,M111,2024-01-09 16:39:00,Bogotá,Suba,4.8,14.0,450900.0,Entregado,5.0,Moto,3-5 años
E10127,M081,2024-03-25 09:46:00,Medellín,Centro,3.5,19.9,287000.0,Entregado,5.0,Camioneta,1-3 años
E10128,M077,2024-03-05 15:42:00,Barranquilla,Norte,5.4,22.4,277100.0,Retrasado,,Moto,<1 año
E10129,M105,2024-02-11 18:44:00,Medellín,Envigado,3.6,15.7,473400.0,Entregado,5.0,Moto,3-5 años
E10130,M076,2024-03-11 10:12:00,Bogotá,Suba,11.8,35.0,395300.0,Entregado,4.3,Camioneta,3-5 años
E10131,M108,2024-03-26 18:43:00,Medellín,Bello,9.8,63.5,492600.0,Entregado,3.0,Camioneta,1-3 años
E10132,M045,2024-03-19 15:25:00,Medellín,Envigado,11.2,53.6,196400.0,Entregado,4.5,Moto,1-3 años
E10133,M141,2024-01-01 15:18:00,Cali,San Fernando,3.2,12.4,106000.0,Entregado,4.8,Moto,1-3 años
E10134,M054,2024-02-25 16:29:00,Bogotá,Kennedy,6.0,20.4,303100.0,Entregado,4.7,Moto,3-5 años
E10135,M114,2024-02-26 12:32:00,Barranquilla,Sur,6.8,24.8,494300.0,Entregado,4.4,Moto,>5 años
E10136,M122,2024-01-22 08:18:00,Bucaramanga,Centro,3.7,24.7,446200.0,Entregado,5.0,Camioneta,3-5 años
E10137,M132,2024-03-25 16:05:00,Bucaramanga,Norte,4.7,18.1,329300.0,Entregado,4.6,Moto,1-3 años
E10138,M061,2024-03-27 15:14:00,Barranquilla,Riomar,7.0,22.1,79600.0,Entregado,4.8,Moto,1-3 años
E10139,M051,2024-01-19 06:02:00,Medellín,El Poblado,6.9,20.4,25200.0,Entregado,4.4,Moto,3-5 años
E10140,M063,2024-03-01 08:29:00,Bucaramanga,Girón,7.6,36.7,434500.0,Entregado,4.4,Moto,1-3 años
E10141,M107,2024-03-21 12:45:00,Bogotá,Centro,8.9,43.1,328900.0,Retrasado,,Moto,>5 años
E10142,M099,2024-03-04 18:15:00,Barranquilla,Centro,8.2,41.7,30600.0,Entregado,4.9,Camioneta,3-5 años
E10143,M038,2024-03-24 06:57:00,Bogotá,Chapinero,7.5,42.5,366100.0,Entregado,4.8,Moto,<1 año
E10144,M028,2024-02-24 13:11:00,Bogotá,Kennedy,5.4,20.6,157600.0,Entregado,4.6,Moto,3-5 años
E10145,M133,2024-02-29 07:35:00,Bucaramanga,Cabecera,2.9,13.1,48700.0,Entregado,5.0,Moto,>5 años
E10146,M064,2024-01-16 20:08:00,Barranquilla,Sur,14.0,47.9,56000.0,Dañado,,Camioneta,3-5 años
E10147,M119,2024-03-26 22:35:00,Medellín,El Poblado,3.2,11.8,177000.0,Entregado,4.5,Moto,<1 año
E10148,M082,2024-02-26 22:27:00,Bucaramanga,Girón,8.4,34.2,485700.0,Entregado,4.3,Moto,1-3 años
E10149,M141,2024-02-27 11:47:00,Cali,Granada,6.3,19.9,32400.0,Entregado,4.6,Moto,1-3 años
E10150,M122,2024-02-27 14:48:00,Bucaramanga,Norte,6.0,34.4,34300.0,Entregado,4.8,Camioneta,3-5 años
E10151,M064,2024-03-22 14:49:00,Medellín,Centro,6.9,32.5,270500.0,Entregado,4.6,Camioneta,3-5 años
E10152,M134,2024-03-03 13:17:00,Bucaramanga,Floridablanca,2.8,14.8,338800.0,Entregado,4.5,Moto,>5 años
E10153,M113,2024-01-10 15:15:00,Bogotá,Usaquén,15.5,44.3,39200.0,Entregado,4.7,Moto,3-5 años
E10154,M070,2024-02-12 16:57:00,Medellín,El Poblado,7.1,20.3,49300.0,Entregado,4.7,Moto,>5 años
E10155,M139,2024-01-11 10:09:00,Barranquilla,Norte,10.3,38.8,85600.0,Entregado,4.6,Moto,<1 año
E10156,M060,2024-02-19 10:45:00,Bogotá,Centro,4.8,14.0,248100.0,Entregado,4.3,Moto,1-3 años
E10157,M055,2024-01-09 19:26:00,Bogotá,Chapinero,12.8,69.0,160100.0,Retrasado,,Moto,3-5 años
E10158,M085,2024-03-10 20:26:00,Medellín,Envigado,7.1,16.7,191300.0,Entregado,4.7,Moto,>5 años
E10159,M016,2024-01-27 19:24:00,Bucaramanga,Centro,3.8,16.3,326500.0,Entregado,4.6,Moto,1-3 años
E10160,M150,2024-03-30 06:54:00,Medellín,Envigado,5.8,37.9,232500.0,Entregado,3.6,Moto,<1 año
E10161,M148,2024-02-18 21:00:00,Cali,Chipichape,6.5,23.4,163500.0,Entregado,4.8,Camioneta,1-3 años
E10162,M091,2024-02-08 18:54:00,Medellín,Centro,6.3,31.2,307400.0,Entregado,3.5,Moto,1-3 años
E10163,M108,2024-03-09 13:31:00,Medellín,Bello,11.8,64.8,357400.0,Entregado,3.5,Camioneta,1-3 años
E10164,M057,2024-02-04 19:31:00,Barranquilla,Siape,13.6,76.8,206900.0,Perdido,,Camioneta,3-5 años
E10165,M008,2024-02-19 16:42:00,Cali,Granada,8.4,33.5,454400.0,Entregado,4.6,Moto,1-3 años
E10166,M104,2024-01-22 20:58:00,Bogotá,Centro,9.5,32.8,238700.0,Entregado,5.0,Moto,3-5 años
E10167,M033,2024-03-20 06:58:00,Cali,San Fernando,9.9,32.7,109600.0,Entregado,4.4,Moto,1-3 años
E10168,M101,2024-03-16 06:05:00,Cali,Granada,5.2,15.3,299800.0,Entregado,4.8,Moto,>5 años
E10169,M110,2024-01-18 20:11:00,Bucaramanga,Girón,2.5,10.0,25100.0,Retrasado,,Moto,1-3 años
E10170,M013,2024-02-03 18:20:00,Medellín,Laureles,7.3,32.6,404200.0,Entregado,4.2,Moto,3-5 años
E10171,M055,2024-02-28 16:21:00,Cali,Chipichape,10.0,33.6,418700.0,Entregado,4.1,Moto,3-5 años
E10172,M098,2024-02-05 19:16:00,Medellín,Centro,10.4,56.9,147400.0,Entregado,4.0,Moto,3-5 años
E10173,M021,2024-03-01 06:47:00,Cali,Chipichape,7.2,28.4,65300.0,Entregado,4.5,Camioneta,3-5 años
E10174,M139,2024-01-07 17:14:00,Barranquilla,Centro,4.3,31.3,208500.0,Entregado,4.3,Moto,<1 año
E10175,M018,2024-03-24 07:48:00,Bucaramanga,Cabecera,6.6,26.1,362700.0,Entregado,4.8,Moto,1-3 años
E10176,M008,2024-02-01 12:53:00,Cali,Sur,7.3,31.1,68800.0,Entregado,4.7,Moto,1-3 años
E10177,M006,2024-03-20 10:15:00,Medellín,Laureles,4.2,10.2,260500.0,Entregado,4.6,Moto,1-3 años
E10178,M033,2024-03-01 09:36:00,Cali,San Fernando,6.0,23.3,286800.0,Entregado,4.9,Moto,1-3 años
E10179,M056,2024-02-29 14:49:00,Barranquilla,Sur,8.1,36.3,320000.0,Entregado,4.0,Camioneta,3-5 años
E10180,M095,2024-01-22 09:49:00,Medellín,Centro,10.9,43.5,242900.0,Entregado,5.0,Moto,1-3 años
E10181,M042,2024-02-09 09:37:00,Medellín,Bello,10.8,90.6,101200.0,Entregado,2.9,Moto,<1 año
E10182,M007,2024-02-09 18:25:00,Cali,Granada,7.4,35.9,329300.0,Entregado,4.3,Camioneta,1-3 años
E10183,M051,2024-01-10 13:06:00,Medellín,Centro,9.1,37.4,393200.0,Entregado,4.1,Moto,3-5 años
E10184,M078,2024-03-28 09:50:00,Barranquilla,Siape,7.5,39.8,270200.0,Entregado,4.0,Moto,<1 año
E10185,M145,2024-01-06 17:34:00,Medellín,Bello,3.4,11.1,430000.0,Entregado,4.4,Moto,>5 años
E10186,M110,2024-03-25 17:04:00,Bucaramanga,Cabecera,3.4,15.1,192200.0,Entregado,4.6,Moto,1-3 años
E10187,M130,2024-03-23 16:00:00,Bogotá,Kennedy,14.2,53.5,158400.0,Entregado,4.2,Camioneta,3-5 años
E10188,M108,2024-03-03 09:27:00,Medellín,Bello,7.3,43.9,325800.0,Entregado,4.8,Camioneta,1-3 años
E10189,M093,2024-03-22 20:45:00,Barranquilla,Centro,5.6,16.4,407500.0,Entregado,4.7,Moto,1-3 años
E10190,M040,2024-02-25 11:46:00,Bogotá,Suba,13.7,36.5,348100.0,Entregado,4.9,Moto,1-3 años
E10191,M134,2024-03-24 14:39:00,Barranquilla,Norte,8.2,28.8,47400.0,Entregado,5.0,Moto,>5 años
E10192,M138,2024-03-02 20:27:00,Barranquilla,Centro,5.4,18.1,340400.0,Entregado,5.0,Moto,>5 años
E10193,M069,2024-02-11 13:53:00,Bogotá,Kennedy,11.9,42.5,117400.0,Entregado,4.9,Moto,>5 años
E10194,M023,2024-02-05 20:15:00,Bucaramanga,Centro,9.9,43.9,265500.0,Dañado,,Moto,1-3 años
E10195,M119,2024-03-13 18:21:00,Medellín,Bello,5.2,37.3,15900.0,Entregado,4.4,Moto,<1 año
E10196,M008,2024-03-04 16:11:00,Cali,San Fernando,8.5,35.8,134400.0,Entregado,4.4,Moto,1-3 años
E10197,M125,2024-01-28 17:51:00,Bogotá,Centro,5.4,34.3,202300.0,Entregado,4.9,Camioneta,1-3 años
E10198,M067,2024-02-13 14:56:00,Barranquilla,Sur,6.4,58.7,439900.0,Retrasado,,Camioneta,<1 año
E10199,M071,2024-03-12 06:33:00,Cali,Granada,2.8,11.5,295000.0,Entregado,4.9,Moto,3-5 años
E10200,M049,2024-01-11 13:46:00,Barranquilla,Centro,12.3,58.9,413300.0,Entregado,4.5,Moto,1-3 años
E10201,M105,2024-03-03 13:44:00,Medellín,El Poblado,5.7,26.2,235400.0,Entregado,5.0,Moto,3-5 años
E10202,M122,2024-03-23 21:28:00,Barranquilla,Centro,11.6,44.0,466200.0,Entregado,4.0,Camioneta,3-5 años
E10203,M005,2024-01-12 15:14:00,Bucaramanga,Norte,5.6,16.2,158900.0,Entregado,4.3,Moto,1-3 años
E10204,M104,2024-03-29 13:19:00,Bogotá,Kennedy,7.7,40.1,410800.0,Entregado,4.3,Moto,3-5 años
E10205,M149,2024-02-17 21:35:00,Bucaramanga,Floridablanca,10.0,41.6,196500.0,Entregado,4.3,Moto,<1 año
E10206,M136,2024-02-14 19:47:00,Cali,Granada,4.5,24.3,284400.0,Entregado,4.5,Moto,1-3 años
E10207,M141,2024-02-12 17:44:00,Cali,Granada,9.5,64.0,367200.0,Retrasado,,Moto,1-3 años
E10208,M117,2024-02-04 15:16:00,Bucaramanga,Norte,3.6,14.3,338800.0,Entregado,4.8,Moto,1-3 años
E10209,M060,2024-01-16 12:20:00,Bogotá,Usaquén,6.0,20.7,354800.0,Retrasado,,Moto,1-3 años
E10210,M031,2024-03-09 11:12:00,Medellín,Envigado,7.5,21.7,246300.0,Entregado,5.0,Moto,3-5 años
E10211,M056,2024-03-02 14:46:00,Barranquilla,Sur,7.7,36.5,400400.0,Entregado,4.6,Camioneta,3-5 años
E10212,M135,2024-03-17 15:06:00,Bogotá,Suba,11.5,32.3,103800.0,Entregado,4.9,Moto,3-5 años
E10213,M050,2024-02-07 13:23:00,Medellín,Bello,6.6,22.8,37700.0,Entregado,5.0,Moto,1-3 años
E10214,M046,2024-02-08 06:45:00,Bogotá,Suba,13.4,49.9,230600.0,Retrasado,,Camioneta,1-3 años
E10215,M137,2024-01-17 14:02:00,Bogotá,Kennedy,8.8,35.4,110600.0,Entregado,4.3,Moto,1-3 años
E10216,M014,2024-03-11 15:44:00,Medellín,Laureles,9.2,28.6,220900.0,Entregado,4.8,Moto,<1 año
E10217,M033,2024-03-22 21:06:00,Medellín,Centro,3.1,13.1,163300.0,Entregado,4.4,Moto,1-3 años
E10218,M004,2024-03-14 15:30:00,Medellín,El Poblado,4.1,15.0,316400.0,Entregado,4.4,Camioneta,3-5 años
E10219,M123,2024-02-26 16:11:00,Medellín,Centro,8.2,32.9,102400.0,Entregado,5.0,Moto,3-5 años
